User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1004122,P00238542,M,18-25,19,C,4+,0,5,14.0,,3522
1002348,P00111142,M,51-55,12,C,4+,1,1,15.0,16.0,11654
1002931,P00042842,M,18-25,4,B,2,0,5,,,3456
1003808,P00195342,M,26-35,7,A,2,1,2,5.0,,13288
1004950,P0099242,M,26-35,16,A,1,1,8,14.0,,5915
1003736,P00210042,M,36-45,1,C,1,1,8,14.0,,5841
1000264,P0094342,M,36-45,0,B,1,1,4,5.0,18.0,1411
1001665,P00346142,M,46-50,17,B,2,0,1,15.0,,7703
1005254,P00157642,M,18-25,4,C,1,1,1,14.0,16.0,12056
1001680,P00329742,M,26-35,20,A,3,1,6,16.0,,20506
1001748,P00178542,M,51-55,1,A,1,1,8,13.0,,7980
1000370,P00240442,M,18-25,17,C,3,0,6,16.0,,12306
1003599,P00159742,M,26-35,16,C,3,0,2,4.0,9.0,9772
1000044,P00113142,M,46-50,17,B,3,1,1,5.0,12.0,15853
1004985,P00054242,M,36-45,0,C,3,0,1,6.0,14.0,12068
1001354,P00192542,F,26-35,2,B,3,0,1,2.0,9.0,8138
1003693,P00035542,M,26-35,15,B,1,1,3,4.0,12.0,10586
1000872,P00304142,M,51-55,1,B,3,1,5,11.0,,5201
1004117,P00000642,M,18-25,4,B,4+,0,1,6.0,16.0,19150
1002990,P00227742,M,36-45,12,B,1,1,5,14.0,,3453
1001193,P00238442,M,26-35,12,C,3,1,6,,,12497
1003971,P00135742,F,18-25,4,B,0,0,6,8.0,,16226
1000466,P00118742,M,26-35,5,A,2,0,5,11.0,,8864
1001805,P00282642,M,18-25,4,C,0,0,5,,,8851
1005190,P00248142,F,36-45,0,C,1,0,5,,,5266
1003371,P00085242,M,26-35,2,A,3,0,8,14.0,17.0,10031
1001051,P00218242,F,26-35,0,A,0,1,5,8.0,,5476
1000759,P00370853,F,55+,3,C,1,0,19,,,24
1004788,P00329342,M,36-45,7,B,4+,0,5,,,5475
1002796,P00000142,M,26-35,14,B,3,0,3,4.0,5.0,8083
1001050,P00125942,M,26-35,1,B,1,0,1,2.0,15.0,11787
1000727,P00156442,M,36-45,11,B,4+,1,8,,,8129
1002378,P00042542,M,26-35,3,C,1,1,1,5.0,,11435
1004007,P00220142,M,36-45,12,A,1,1,1,15.0,,7814
1001141,P00048442,F,26-35,3,B,1,1,5,14.0,,8689
1002540,P00303342,F,46-50,6,B,3,1,1,16.0,,19502
1004250,P00034742,F,51-55,0,C,4+,1,5,14.0,17.0,8907
1000999,P0099442,M,26-35,15,B,2,0,6,8.0,,12238
1001997,P00220442,M,26-35,0,A,0,1,5,14.0,,6855
1000295,P00111242,M,18-25,0,C,4+,0,1,18.0,,19432
1000714,P00210642,M,18-25,4,B,2,0,8,14.0,,9737
